Minnesota Vikings  DEF,16,39.27,16.97,10.56,0.54,2.32,0.44,327.2,111.97
Seattle Seahawks  DEF,16,37.8,16.4,10.72,0.68,2.23,0.49,302.66,109.72
Denver Broncos  DEF,16,35.93,16.78,10.68,0.59,2.2,0.47,347.5,108.05
Los Angeles Rams  DEF,16,35.72,18.04,10.45,0.55,1.82,0.49,225.09,107.66
Atlanta Falcons  DEF,16,38.13,15.66,10.5,0.56,2.07,0.49,308.4,106.93
Jacksonville Jaguars  DEF,16,37.8,15.65,10.45,0.53,2.08,0.5,349.83,106.54
Carolina Panthers  DEF,16,35.87,16.58,10.33,0.55,2.1,0.48,369.5,106.27
New England Patriots  DEF,16,36.53,15.62,10.47,0.54,1.98,0.51,353.21,104.73
Houston Texans  DEF,16,37.45,15.39,10.25,0.65,1.75,0.46,352.83,103.29
Pittsburgh Steelers  DEF,16,36.9,15.26,10.19,0.56,1.9,0.45,347.7,103.02
Green Bay Packers  DEF,16,37.51,15.58,9.84,0.54,1.79,0.47,349.93,102.99
Chicago Bears  DEF,16,38.71,15.01,9.86,0.54,1.73,0.44,361.66,102.55
Kansas City Chiefs  DEF,16,33.87,16.36,9.88,0.57,1.91,0.6,357.09,102.55
Tennessee Titans  DEF,16,37.71,14.63,10.38,0.53,1.78,0.46,352.23,102.23
New Orleans Saints  DEF,16,36.81,14.33,11.13,0.54,1.57,0.5,356.91,101.23
Philadelphia Eagles  DEF,16,32.66,16.58,10.18,0.57,1.82,0.47,371.45,101.06
Indianapolis Colts  DEF,16,36.73,14.86,10.12,0.54,1.71,0.49,345.58,100.97
Baltimore Ravens  DEF,16,34.38,15.17,10.05,0.53,1.87,0.44,353.53,99.74
New York Giants  DEF,16,33.03,15.55,10.51,0.55,1.6,0.52,342.19,98.97
Los Angeles Chargers  DEF,16,35.33,14.13,10.6,0.58,1.66,0.45,367.34,98.61
Buffalo Bills  DEF,16,37.02,14.4,9.77,0.53,1.51,0.46,373.96,98.24
New York Jets  DEF,16,35.95,13.88,10.43,0.55,1.61,0.48,351.31,98.21
Arizona Cardinals  DEF,16,34.47,14.52,10.53,0.54,1.56,0.51,373.23,98.07
Tampa Bay Buccaneers  DEF,16,36.72,14.7,10.1,0.53,1.29,0.45,369.44,97.82
Detroit Lions  DEF,16,33.87,14.62,10.22,0.53,1.7,0.44,375.23,97.45
Cincinnati Bengals DEF,16,32.45,15.42,10.19,0.56,1.61,0.48,355.69,97.33
Washington Redskins DEF,16,33.75,14.45,10.21,0.58,1.63,0.46,361.88,96.77
Miami Dolphins DEF,16,35.43,13.7,10.3,0.54,1.53,0.49,378.13,96.63
Dallas Cowboys DEF,16,32.57,14.29,10.11,0.54,1.64,0.44,348.1,94.93
San Francisco 49ers DEF,16,31.93,14.39,10.81,0.56,1.38,0.49,358.89,94.67
Oakland Raiders DEF,16,32.87,14.01,9.99,0.55,1.58,0.49,370.65,94.39
Cleveland Browns DEF,16,30.6,13.75,11.78,0.53,1.36,0.46,394.83,93.64
