Player,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Aaron Rodgers   QB - GB,4428,40,7,369,4,-,-,-,2,4,380.02
Matt Ryan   QB - ATL,4944,38,7,117,-,-,-,-,2,2,347.46
Drew Brees   QB - NO,5208,37,15,20,2,-,-,-,-,4,332.32
David Johnson  RB - ARI,-,-,-,1239,16,879,4,-,1,3,327.8
Andrew Luck  QB - IND,4240,31,13,341,2,-,-,-,2,5,307.7
Kirk Cousins  QB - WAS,4917,25,12,96,4,-,-,-,-,3,300.28
Ezekiel Elliott  RB - DAL,-,-,-,1631,15,363,1,-,-,1,293.4
Dak Prescott  QB - DAL,3667,23,4,282,6,-,-,-,-,4,286.88
Matthew Stafford  QB - DET,4327,24,10,207,2,-,-,-,1,2,279.78
Tyrod Taylor  QB - BUF,3023,17,6,580,6,-,-,-,2,2,270.92
Blake Bortles  QB - JAX,3905,23,16,359,3,20,1,-,2,6,270.1
Derek Carr  QB - OAK,3937,28,6,70,-,-,-,-,5,3,268.48
Russell Wilson  QB - SEA,4219,21,11,259,1,14,1,-,1,2,268.06
Andy Dalton  QB - CIN,4206,18,8,184,4,-,-,-,-,3,260.64
Marcus Mariota  QB -  TEN,3426,26,9,349,2,-,-,-,-,5,259.94
Philip Rivers  QB - LAC,4386,33,21,35,-,-,-,-,-,5,258.94
Tom Brady  QB - NE,3554,28,2,64,-,-,-,-,1,-,258.56
Jameis Winston  QB - TB,4090,28,18,165,1,-,-,-,3,6,256.1
Cam Newton  QB - CAR,3509,19,14,359,5,-,-,-,2,2,254.26
Ben Roethlisberger  QB - PIT,3819,29,13,14,1,-,-,-,3,2,252.16
LeSean McCoy  RB - BUF,-,-,-,1267,13,356,1,-,1,-,248.3
Carson Palmer  QB - ARI,4233,26,14,38,-,-,-,-,1,4,243.12
Joe Flacco  QB - BAL,4317,20,15,58,2,-,-,-,4,3,242.48
Le'Veon Bell  RB - PIT,-,-,-,1268,7,616,2,-,1,1,242.4
DeMarco Murray  RB -  TEN,10,1,-,1287,9,377,3,-,-,1,240.8
Devonta Freeman RB - ATL,-,-,-,1079,11,462,2,-,-,1,230.1
LeGarret TE Blount RB - PHI,-,-,-,1161,18,38,-,-,-,1,225.9
Eli Manning QB - NYG,4027,26,16,-9,-,-,-,-,-,4,224.18
Alex Smith QB - KC,3502,15,8,134,5,3,-,-,2,4,223.78
Sam Bradford QB - MIN,3877,20,5,53,-,5,-,-,-,5,220.88
Carson Wentz QB - PHI,3782,16,14,150,2,7,-,-,2,3,212.98
Melvin Gordon RB - LAC,-,-,-,997,10,419,2,-,-,2,209.6
Mike Evans WR - TB,-,-,-,-,-,1321,12,-,2,-,208.1
Jordy Nelson WR - GB,-,-,-,-,-,1257,14,-,-,1,207.7
Antonio Brown WR - PIT,-,-,-,9,-,1284,12,-,-,-,201.3
Jordan Howard RB - CHI,-,-,-,1313,6,298,1,-,-,1,201.1
Colin Kaepernick QB,2241,16,4,468,2,-,-,-,1,3,200.44
Mark Ingram RB - NO,-,-,-,1043,6,319,4,-,2,2,196.2
Odell Beckham WR - NYG,-,-,-,9,-,1367,10,-,-,1,195.6
Trevor Siemian QB - DEN,3401,18,10,57,-,-,-,-,1,2,191.74
Ryan Tannehill QB - MIA,2995,19,12,164,1,-,-,-,1,3,190.2
Jay Ajayi RB - MIA,-,-,-,1272,8,151,-,-,-,1,188.3
T.Y. Hilton WR - IND,-,-,-,-,-,1448,6,-,1,-,182.8
Julio Jones WR - ATL,-,-,-,-,-,1409,6,-,-,-,176.9
Frank Gore RB - IND,-,-,-,1025,4,277,4,-,-,1,176.2
Latavius Murray RB - MIN,-,-,-,788,12,264,-,-,-,1,175.2
Davan TE Adams WR - GB,-,-,-,-,-,997,12,-,1,1,171.7
Brandin Cooks WR - NE,-,-,-,30,-,1173,8,-,-,-,168.3
Brock Osweiler QB - CLE,2957,15,16,131,2,-14,-,-,-,1,167.98
Isaiah Crowell RB - CLE,-,-,-,952,7,319,-,-,-,2,165.1
Carlos Hyde RB - SF,-,-,-,988,6,163,3,-,1,3,165.1
Michael Thomas WR - NO,-,-,-,-,-,1137,9,-,-,2,163.7
Spencer Ware RB - KC,-,-,-,921,3,447,2,-,-,3,160.8
 TEvin Coleman RB - ATL,-,-,-,520,8,421,3,-,-,-,160.1
Lamar Miller RB - HOU,-,-,-,1073,5,188,1,-,-,1,160.1
Doug Baldwin WR - SEA,15,1,-,2,-,1128,7,-,-,-,159.6
Jeremy Hill RB - CIN,-,-,-,839,9,174,-,-,-,-,155.3
Todd Gurley RB - LA,-,-,-,885,6,327,-,-,-,1,155.2
Matt For TE RB - NYJ,-,-,-,813,7,263,1,-,-,1,153.6
Michael Crabtree WR - OAK,-,-,-,-,-,1003,8,-,1,-,150.3
Amari Cooper WR - OAK,-,-,-,-,-,1153,5,-,2,-,149.3
Tyrell Williams WR - LAC,-,-,-,-,-,1059,7,-,-,-,147.9
Rishard Matthews WR -  TEN,-,-,-,-,-,945,9,-,-,1,146.5
Bilal Powell RB - NYJ,-,-,-,722,3,388,2,-,-,1,139
